artistName,mixtapeName,url,downloads,streams,views,numberTracks,projectDuration,percentFeatures,djDummy,sponsoredDummy,officialDummy,mondayDummy,tuesdayDummy,wednesdayDummy,thursdayDummy,fridayDummy,saturdayDummy
Fabolous,The Soul Tape 2,http://www.datpiff.com/Fabolous-The-Soul-Tape-2-mixtape.409614.html,"988,307","587,461","2,348,422",12,52.0,0.5833333333333334,0,1,1,0,0,0,1,0,0
Chance The Rapper,Acid Rap,http://www.datpiff.com/Chance-The-Rapper-Acid-Rap-mixtape.483826.html,"903,678","337,421","1,965,719",13,53.85,0.6153846153846154,0,1,1,0,1,0,0,0,0
Young Jeezy,Its Tha World,http://www.datpiff.com/Young-Jeezy-Its-Tha-World-mixtape.425097.html,"902,723","500,321","2,168,576",17,60.21666666666667,0.4117647058823529,1,1,1,0,0,0,0,0,0
Fabolous,There Is No Competition: Death Comes In 3's,http://www.datpiff.com/Fabolous-There-Is-No-Competition-Death-Comes-In-3s-mixtape.291573.html,"950,881","619,746","2,264,687",15,46.9,0.3333333333333333,1,1,1,0,0,0,0,0,0
Mac Miller,Best Day Ever,http://www.datpiff.com/Mac-Miller-Best-Day-Ever-mixtape.207667.html,"1,058,147","1,000,717","2,927,229",16,52.766666666666666,0.125,1,1,1,0,0,0,0,1,0
Mac Miller,K.I.D.S,http://www.datpiff.com/Mac-Miller-KIDS-mixtape.143884.html,"959,011","611,053","2,521,075",17,49.95,0.11764705882352941,1,1,1,0,0,0,0,1,0
J Cole,Friday Night Lights,http://www.datpiff.com/J-Cole-Friday-Night-Lights-mixtape.168650.html,"963,919","727,348","2,576,438",20,77.55,0.05,0,1,1,0,0,0,0,1,0
Waka Flocka,Salute Me Or Shoot Me 4: Banned From America,http://www.datpiff.com/Waka-Flocka-Salute-Me-Or-Shoot-Me-4-Banned-From-America-mixtape.378720.html,"978,560","561,688","1,988,914",15,60.53333333333333,0.6,1,1,1,0,0,0,1,0,0
Meek Mill,Dreamchasers,http://www.datpiff.com/Meek-Mill-Dreamchasers-mixtape.256292.html,"1,167,029","930,954","3,339,770",19,70.21666666666667,0.5263157894736842,1,1,1,0,0,0,1,0,0
Mac Miller,Macadelic,http://www.datpiff.com/Mac-Miller-Macadelic-mixtape.327035.html,"1,134,403","638,549","2,486,498",16,61.15,0.4375,0,1,1,0,0,0,0,1,0
Drake,So Far Gone ,http://www.datpiff.com/Drake-So-Far-Gone-mixtape.34130.html,"1,180,383","1,050,695","3,929,954",17,68.35,0.47058823529411764,0,1,1,0,0,0,0,1,0
Meek Mill,Dreamchasers 3,http://www.datpiff.com/Meek-Mill-Dreamchasers-3-mixtape.439835.html,"1,180,837","649,063","7,041,469",17,62.63333333333333,0.6470588235294118,1,1,1,0,0,0,0,0,0
Rick Ross,The Black Bar Mitzvah,http://www.datpiff.com/Rick-Ross-The-Black-Bar-Mitzvah-mixtape.402975.html,"1,222,284","822,864","3,313,305",19,80.46666666666667,0.47368421052631576,1,1,1,1,0,0,0,0,0
Wale,Folarin,http://www.datpiff.com/Wale-Folarin-mixtape.433113.html,"1,136,396","552,219","2,721,797",21,70.65,0.6190476190476191,1,1,1,1,0,0,0,0,0
Wiz Khalifa,28 Grams,http://www.datpiff.com/Wiz-Khalifa-28-Grams-mixtape.613330.html,"1,145,104","491,479","2,609,547",28,88.95,0.35714285714285715,1,1,1,0,0,0,0,0,0
Cassie,RockaByeBaby,http://www.datpiff.com/Cassie-RockaByeBaby-mixtape.465275.html,"658,740","233,821","2,242,140",13,37.28333333333333,0.6923076923076923,0,1,1,0,0,0,1,0,0
Tyga,Well Done 3,http://www.datpiff.com/Tyga-Well-Done-3-mixtape.372259.html,"1,111,501","641,370","2,788,324",16,46.31666666666667,0.5625,0,1,1,0,0,0,0,0,0
Ace Hood,Starvation 2,http://www.datpiff.com/Ace-Hood-Starvation-2-mixtape.435722.html,"672,709","417,413","1,963,707",20,72.68333333333334,0.35,0,1,1,0,0,0,1,0,0
Gucci Mane,Trap Back,http://www.datpiff.com/Gucci-Mane-Trap-Back-mixtape.305854.html,"683,653","602,577","2,401,903",19,64.08333333333333,0.5263157894736842,1,1,1,0,0,0,0,0,0
The Weeknd,Echoes Of Silence,http://www.datpiff.com/The-Weeknd-Echoes-Of-Silence-mixtape.296051.html,"695,770","351,976","1,588,685",9,45.75,0.0,0,1,1,0,0,0,0,0,0
Young Jeezy,The Real Is Back,http://www.datpiff.com/Young-Jeezy-The-Real-Is-Back-mixtape.234092.html,"741,447","894,549","2,418,880",20,72.43333333333334,0.65,1,1,1,0,0,0,0,0,1
Lil Wayne,The Dedication 2,http://www.datpiff.com/Lil-Wayne-The-Dedication-2-mixtape.799.html,"693,919","2,196,139","3,199,647",25,77.53333333333333,0.28,1,1,1,1,0,0,0,0,0
Chief Keef,Back From The Dead,http://www.datpiff.com/Chief-Keef-Back-From-The-Dead-mixtape.324584.html,"696,658","524,592","2,162,653",12,42.583333333333336,0.5,1,1,1,1,0,0,0,0,0
Wiz Khalifa,Flight School,http://www.datpiff.com/Wiz-Khalifa-Flight-School-mixtape.42357.html,"670,824","592,159","2,236,970",22,75.23333333333333,0.09090909090909091,1,1,1,0,0,0,0,0,1
Fabolous,The Soul Tape,http://www.datpiff.com/Fabolous-The-Soul-Tape-mixtape.220063.html,"763,364","853,756","2,356,217",14,50.8,0.5714285714285714,0,1,1,0,0,0,1,0,0
Frank Ocean,"Nostalgia, Ultra.",http://www.datpiff.com/Frank-Ocean-Nostalgia-Ultra-mixtape.210282.html,"754,458","492,165","1,914,531",13,35.11666666666667,0.0,1,1,1,0,0,0,0,0,1
Wiz Khalifa & Curren$y,How Fly,http://www.datpiff.com/Wiz-Khalifa-Curreny-How-Fly-mixtape.60260.html,"770,431","764,278","2,703,683",15,53.233333333333334,0.0,0,1,1,0,0,0,0,0,0
French Montana,Coke Boys 4,http://www.datpiff.com/French-Montana-Coke-Boys-4-mixtape.561624.html,"767,203","354,052","2,609,690",18,69.18333333333334,0.1111111111111111,1,1,1,0,0,0,1,0,0
Gucci Mane,Trap God,http://www.datpiff.com/Gucci-Mane-Trap-God-mixtape.391802.html,"778,526","487,683","2,090,416",20,66.11666666666666,0.75,1,1,1,0,0,0,0,0,0
